Full Name,Email Address,Lead Source,Activity,Pageviews ,Email_Opens,Time on Site (seconds),Extra Column??
Zach Lewis,zach.lewis@gmail.com,GOOGLE ADS,,N/A,8,missing, 
Nina Hall,nina.hall@company.com,Facebook ads,clicked email,, ,,
Laurie Johnson,laurie.johnson@company.com,GOOGLE ADS,clicked email,N/A,,,
Alex Lopez,alex.lopez@outlook.com,,Requested Demo,8,unknown,300,1
Morgan Johnson,morgan.johnson@outlook.com,linkedIn,Signed-Up,N/A, ,missing,irrelevant
Laurie Green,laurie.green@outlook.com,,clicked email,0,unknown,,
Taylor Brown,taylor.brown@company.com,Referral,Viewed pricing page,,,missing, 
Laurie Allen,laurie.allen@yahoo.com,,Signed-Up,8, ,12, 
,unknown@outlook.com,Facebook ads,,,,,
Zach Green,zach.green@company.com,,,0,,,5
Laurie Anderson,laurie.anderson@gmail.com,,downloaded EBOOK,,,,
,unknown@company.com,GOOGLE ADS,downloaded EBOOK,,unknown,missing, 
Owen Davis,owen.davis@outlook.com,,downloaded EBOOK,N/A,unknown,368,delete me
Sophia Lopez,sophia.lopez@gmail.com,Referral,,N/A,unknown,101,irrelevant
Laura Scott,laura.scott@outlook.com,Referral,Signed-Up,N/A,unknown,271,
Emma Smith,emma.smith@yahoo.com,Facebook ads,,,unknown,287,delete me
Leo Smith,leo.smith@yahoo.com,GOOGLE ADS,,N/A, ,,
Zach Anderson,zach.anderson21,Organic search,clicked email,1,unknown,missing,4
Zach Green,zach.green35,Referral,clicked email,,4,,1
Laura Allen,laura.allen@gmail.com,,Viewed pricing page,N/A,,missing,irrelevant
Sophia Walker,sophia.walker@yahoo.com,Organic search,Viewed pricing page,4,,, 
Zach Clark,zach.clark@outlook.com,,Signed-Up,, ,,delete me
Eli Miller,eli.miller@yahoo.com,Referral,Requested Demo,,unknown,missing,delete me
Lina Davis,lina.davis@gmail.com,Organic search,Visited landing page,5, ,178, 
Emma Hall,emma.hall@yahoo.com,,Viewed pricing page,N/A,6,422,
Zach Scott,zach.scott@yahoo.com,tiktok Ads,Viewed pricing page,,,missing, 
Sam Wright,sam.wright@outlook.com,,Viewed pricing page,,5,missing,4
Owen Brown,owen.brown@gmail.com,tiktok Ads,clicked email,11,unknown,missing, 
Alex Smith,alex.smith@outlook.com,GOOGLE ADS,clicked email,0, ,missing,irrelevant
Nina Green,nina.green@gmail.com,linkedIn,Requested Demo,2,,585,delete me
Jordan Green,jordan.green14,,Requested Demo,,unknown,499,
Sophia Miller,sophia.miller@outlook.com,,clicked email,,unknown,142,
Eli Wilson,eli.wilson@yahoo.com,GOOGLE ADS,Visited landing page,,unknown,335,delete me
Chris Lopez,chris.lopez@company.com,linkedIn,Visited landing page,,,missing,5
Cameron King,cameron.king@gmail.com,GOOGLE ADS,,N/A, ,,delete me
Morgan Walker,morgan.walker@gmail.com,,Viewed pricing page,N/A, ,510,delete me
Leo Clark,leo.clark@yahoo.com,linkedIn,Viewed pricing page,N/A,1,missing,4
Sam Lopez,sam.lopez@company.com,linkedIn,Visited landing page,,7,526,delete me
Cameron Wilson,cameron.wilson@gmail.com,tiktok Ads,Visited landing page,5,unknown,, 
Cameron Wilson,cameron.wilson@yahoo.com,,Viewed pricing page,,,,delete me
Chris Anderson,chris.anderson60,,,12,4,,2
Sophia Clark,sophia.clark@gmail.com,,,11, ,missing,delete me
Morgan Clark,morgan.clark50,Organic search,Visited landing page,8,unknown,, 
Alex Anderson,alex.anderson@yahoo.com,,Requested Demo,, ,,irrelevant
Cameron Johnson,cameron.johnson@gmail.com,Organic search,,N/A,,,
Cameron King,cameron.king88,tiktok Ads,downloaded EBOOK,, ,missing,delete me
Alex King,alex.king@company.com,GOOGLE ADS,clicked email,,unknown,missing, 
Laurie Lewis,laurie.lewis@yahoo.com,GOOGLE ADS,Signed-Up,N/A,6,537,5
Lina Walker,lina.walker@outlook.com,,Requested Demo,,3,missing,
,unknown@outlook.com,linkedIn,Viewed pricing page,, ,,irrelevant
Emma Wilson,emma.wilson@outlook.com,Referral,Viewed pricing page,N/A,unknown,533,2
Morgan Lopez,morgan.lopez@company.com,Referral,Requested Demo,, ,,delete me
Taylor Anderson,taylor.anderson@yahoo.com,,,, ,missing,irrelevant
Cameron Smith,cameron.smith@company.com,linkedIn,Viewed pricing page,1,7,332,
Jamie Davis,jamie.davis@outlook.com,Referral,Requested Demo,6, ,,irrelevant
Nina Brown,nina.brown@yahoo.com,,downloaded EBOOK,N/A,,missing,delete me

